Year,temperature,uncertainty
1750,7.579,0.763
1751,7.393,0.832
1753,7.797,1.034
1754,8.325,1.033
1755,8.003,1.17
1756,8.280999999999999,1.934
1757,8.436,1.2
1758,6.329,1.071
1759,7.356999999999999,1.556
1760,6.462999999999999,1.828
1761,8.016,1.337
1762,7.901,1.035
1763,6.8919999999999995,1.445
1764,7.959,1.157
1765,8.183,1.14
1766,8.155999999999999,1.812
1767,8.038,1.54
1768,6.659,1.2
1769,7.606999999999999,1.195
1770,7.612,1.081
1771,7.544,1.396
1772,8.094,1.559
1773,8.272,1.79
1774,8.686,1.463
1775,8.741,1.165
1776,7.672,1.197
1777,7.659,0.882
1778,7.88,1.525
1779,8.299,1.645
1780,8.913,2.011
1781,8.139,0.822
1782,7.906,1.334
1783,7.7059999999999995,1.13
1784,7.928999999999999,1.685
1785,7.683999999999999,1.409
1786,8.03,1.33
1787,8.116,1.321
1788,8.306,0.908
1789,8.411999999999999,0.816
1790,8.125,0.69
1791,8.419,0.732
1792,8.193,1.07
1793,8.337,1.272
1794,8.69,1.248
1795,8.785,1.004
1796,8.388,0.721
1797,8.592,0.918
1798,8.548,0.902
1799,8.048,0.732
1800,8.169,0.892
1801,8.850999999999999,0.855
1802,8.693,0.824
1803,8.498999999999999,1.302
1804,8.591,0.807
1805,8.524,0.636
1806,8.421,0.831
1807,8.116999999999999,0.637
1808,7.532,0.578
1809,7.098,1.063
1810,6.981999999999999,0.999
1811,6.955,0.773
1812,7.100999999999999,0.98
1813,7.680999999999999,0.615
1814,7.574,1.23
1815,7.161,0.821
1816,6.824,0.92
1817,7.066,0.87
1818,8.094,0.759
1819,7.263999999999999,0.63
1820,7.551,0.617
1821,7.846,0.685
1822,7.936999999999999,0.784
1823,7.662,0.631
1824,8.285,0.781
1825,8.115,0.59
1826,8.302999999999999,0.765
1827,8.671,0.836
1828,7.981999999999999,1.138
1829,7.736,0.837
1830,8.392999999999999,0.801
1831,7.55,0.867
1832,7.366,0.792
1833,7.923,0.735
1834,8.03,0.617
1835,7.287999999999999,0.662
1836,7.551,0.741
1837,7.289999999999999,0.986
1838,7.401999999999999,0.812
1839,7.617999999999999,0.965
1840,7.6659999999999995,0.613
1841,7.486,0.576
1842,7.888,0.578
1843,8.029,0.525
1844,7.518,0.631
1845,7.667,0.657
1846,8.436,0.712
1847,7.9479999999999995,0.574
1848,7.867,0.64
1849,7.858,0.609
1850,7.747999999999999,0.559
1851,8.026,0.596
1852,7.920999999999999,0.573
1853,7.923,0.542
1854,8.110999999999999,0.522
1855,8.045,0.408
1856,7.962999999999999,0.497
1857,7.717,0.414
1858,8.12,0.416
1859,8.302,0.355
1860,7.901,0.556
1861,7.840999999999999,0.424
1862,7.474,0.472
1863,8.110999999999999,0.426
1864,7.952,0.409
1865,8.164,0.329
1866,8.264999999999999,0.298
1867,8.433,0.417
1868,8.151,0.392
1869,8.394,0.486
1870,8.099,0.325
1871,7.975,0.242
1872,8.054,0.358
1873,8.233,0.313
1874,8.359,0.254
1875,7.853999999999999,0.266
1876,8.081999999999999,0.248
1877,8.498,0.263
1878,8.863,0.33
1879,8.158999999999999,0.227
1880,8.046999999999999,0.22
1881,8.279,0.224
1882,8.12,0.147
1883,8.030999999999999,0.163
1884,7.8229999999999995,0.18
1885,7.973999999999999,0.15
1886,7.965999999999999,0.187
1887,7.933,0.139
1888,8.148,0.151
1889,8.344,0.18
1890,7.973999999999999,0.132
1891,8.035,0.173
1892,8.07,0.16
1893,8.065,0.169
1894,8.2,0.196
1895,8.198,0.172
1896,8.251999999999999,0.166
1897,8.334999999999999,0.173
1898,8.193999999999999,0.14
1899,8.445,0.144
1900,8.558,0.151
1901,8.562999999999999,0.2
1902,8.306,0.165
1903,8.228,0.135
1904,8.093,0.108
1905,8.248999999999999,0.122
1906,8.405999999999999,0.108
1907,7.991,0.116
1908,8.202,0.116
1909,8.189,0.115
1910,8.23,0.134
1911,8.174999999999999,0.101
1912,8.147,0.105
1913,8.285,0.107
1914,8.594999999999999,0.107
1915,8.558,0.103
1916,8.202,0.114
1917,7.973999999999999,0.12
1918,8.094999999999999,0.123
1919,8.346,0.117
1920,8.318,0.105
1921,8.533999999999999,0.104
1922,8.360999999999999,0.087
1923,8.379,0.091
1924,8.45,0.11
1925,8.468,0.094
1926,8.652,0.108
1927,8.427,0.105
1928,8.533999999999999,0.096
1929,8.126999999999999,0.095
1930,8.508,0.095
1931,8.605,0.094
1932,8.592,0.103
1933,8.238999999999999,0.101
1934,8.514999999999999,0.089
1935,8.395999999999999,0.097
1936,8.434,0.091
1937,8.587,0.096
1938,8.764,0.089
1939,8.673,0.086
1940,8.665,0.088
1941,8.653,0.086
1942,8.622,0.086
1943,8.658,0.088
1944,8.748999999999999,0.09
1945,8.485999999999999,0.085
1946,8.581999999999999,0.081
1947,8.706,0.08
1948,8.642999999999999,0.075
1949,8.484,0.076
1950,8.28,0.063
1951,8.54,0.059
1952,8.562,0.077
1953,8.794,0.082
1954,8.485,0.067
1955,8.549,0.057
1956,8.205,0.038
1957,8.594999999999999,0.046
1958,8.687999999999999,0.035
1959,8.677,0.018
1960,8.503,0.044
1961,8.721,0.037
1962,8.661,0.047
1963,8.783999999999999,0.03
1964,8.324,0.022
1965,8.456,0.022
1966,8.542,0.04
1967,8.642999999999999,0.036
1968,8.445,0.047
1969,8.533999999999999,0.032
1970,8.655999999999999,0.024
1971,8.558,0.024
1972,8.451,0.019
1973,8.924999999999999,0.025
1974,8.432,0.035
1975,8.719,0.034
1976,8.331999999999999,0.043
1977,8.855,0.043
1978,8.687,0.049
1979,8.706999999999999,0.04
1980,8.972999999999999,0.056
1981,9.149,0.022
1982,8.645,0.028
1983,9.029,0.035
1984,8.68,0.017
1985,8.658,0.051
1986,8.846,0.024
1987,9.008,0.017
1988,9.208,0.034
1989,8.935,0.034
1990,9.243,0.038
1991,9.192,0.027
1992,8.828999999999999,0.023
1993,8.876,0.026
1994,9.046,0.028
1995,9.35,0.026
1996,9.038,0.015
1997,9.184999999999999,0.025
1998,9.524,0.02
1999,9.276,0.02
2000,9.195,0.021
2001,9.404,0.024
2002,9.571,0.019
2003,9.513,0.021
2004,9.323,0.026
2005,9.706,0.015
2006,9.536,0.021
2007,9.733,0.018
2008,9.437,0.021
2009,9.530999999999999,0.031
2010,9.704,0.026
2011,9.529,0.022
2012,9.488,0.045
2013,9.605,0.015
2014,9.578999999999999,0.059
2015,9.838,0.038
2016,10.045,0.06
2017,9.922,0.047
2018,9.762,0.037
2019,9.966,0.045
2020,10.125,0.053
