"SubjectRace","District","ContrabandFound","TotalSearches"
"API","A",13,22
"API","B",8,20
"API","C",9,24
"API","D",4,15
"API","E",5,17
"API","F",10,15
"API","G",7,17
"API","H",13,57
"API","I",23,41
"API","J",6,30
"API","S",0,0
"API","T",0,0
"Black","A",29,124
"Black","B",46,233
"Black","C",158,1267
"Black","D",49,388
"Black","E",29,325
"Black","F",7,36
"Black","G",4,50
"Black","H",25,262
"Black","I",10,114
"Black","J",112,559
"Black","S",0,2
"Black","T",1,1
"Hispanic","A",13,52
"Hispanic","B",14,86
"Hispanic","C",30,148
"Hispanic","D",64,291
"Hispanic","E",11,67
"Hispanic","F",7,23
"Hispanic","G",7,30
"Hispanic","H",45,319
"Hispanic","I",11,49
"Hispanic","J",24,97
"Hispanic","S",0,0
"Hispanic","T",1,1
"White","A",17,48
"White","B",37,125
"White","C",15,89
"White","D",36,122
"White","E",28,121
"White","F",41,68
"White","G",24,67
"White","H",22,88
"White","I",30,102
"White","J",31,133
"White","S",0,1
"White","T",2,3
"Other","A",13,30
"Other","B",13,44
"Other","C",9,60
"Other","D",10,32
"Other","E",8,35
"Other","F",2,11
"Other","G",3,9
"Other","H",6,58
"Other","I",4,27
"Other","J",9,37
"Other","S",0,5
"Other","T",0,1
